partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
43.00,19.00,1.00,Linda swatted at the flies ,so they didn't fly in her mouth.,3.00,3,3,
43.00,19.00,2.00,Helen crammed for the test ,so she would get a good grade.,3.00,3,3,
43.00,19.00,3.00,Shirley asked for help getting home ,but nobody answered.,3.00,4,3,
43.00,19.00,4.00,Sam read the newspaper ,to seem sophisticated but only wanted to read the comics.,5.00,3,3,
43.00,19.00,5.00,Jenny went home to cook dinner ,after a long night at work.,1.00,1,1,
43.00,19.00,6.00,Katherine baby-sat the neighbor's kids ,for money to buy clothes.,4.00,3,5,
43.00,19.00,7.00,Tom bottle fed the baby ,who was 5 years old and not a baby anymore.,3.00,3,1,
43.00,19.00,8.00,Bert changed the oil ,as Ernie sat in the car.,3.00,3,3,
46.00,20.00,1.00,Linda swatted at the flies ,to get them away from her face,3.00,3,3,
46.00,20.00,2.00,Helen crammed for the test ,so she should get a good grade,3.00,3,3,
46.00,20.00,3.00,Shirley asked for help getting home ,because she was too drunk,4.00,3,1,
46.00,20.00,4.00,Sam read the newspaper ,to get caught up on the current news,3.00,3,3,
46.00,20.00,5.00,Jenny went home to cook dinner ,for her and her roomates,3.00,4,2,
46.00,20.00,6.00,Katherine baby-sat the neighbor's kids ,so she could make money to afford her rent,2.00,2,1,
46.00,20.00,7.00,Tom bottle fed the baby ,because the baby's mother was not there to breast feed,4.00,4,4,
46.00,20.00,8.00,Bert changed the oil ,in his car,3.00,3,3,
45.00,20.00,1.00,Linda swatted at the flies ,with determination; she was not getting another bite.,3.00,3,3,
45.00,20.00,2.00,Helen crammed for the test ,frantically the night before.,4.00,3,4,
45.00,20.00,3.00,Shirley asked for help getting home ,from the party.,3.00,3,2,
45.00,20.00,4.00,Sam read the newspaper ,while his father sipped coffee across the table.,4.00,4,3,
45.00,20.00,5.00,Jenny went home to cook dinner ,for her siblings.,4.00,4,4,
45.00,20.00,6.00,Katherine baby-sat the neighbor's kids ,(albeit reluctantly) last night.,2.00,3,1,
45.00,20.00,7.00,Tom bottle fed the baby ,on the subway.,3.00,3,2,
45.00,20.00,8.00,Bert changed the oil ,in his car for the fourth time that month.,3.00,3,5,
49.00,21.00,1.00,Linda swatted at the flies ,as she ran to her dad.,5.00,4,4,
49.00,21.00,2.00,Helen crammed for the test ,because she had a busy week.,3.00,3,3,
49.00,21.00,3.00,Shirley asked for help getting home ,because she missed her train.,3.00,4,3,
49.00,21.00,4.00,Sam read the newspaper ,about a missing boy.,3.00,3,3,
49.00,21.00,5.00,Jenny went home to cook dinner ,for her husband who should be getting out of work soon.,5.00,5,5,
49.00,21.00,6.00,Katherine baby-sat the neighbor's kids ,while her parents were out to dinner.,3.00,3,3,
49.00,21.00,7.00,Tom bottle fed the baby ,as they watched cartoon network.,4.00,3,3,
49.00,21.00,8.00,Bert changed the oil ,in his car because the annoying light was on.,3.00,3,3,
48.00,21.00,1.00,Linda swatted at the flies ,on the kitchen table.,3.00,3,3,
48.00,21.00,2.00,Helen crammed for the test ,today.,3.00,3,3,
48.00,21.00,3.00,Shirley asked for help getting home ,last night.,3.00,3,3,
48.00,21.00,4.00,Sam read the newspaper ,every Sunday.,3.00,3,3,
48.00,21.00,5.00,Jenny went home to cook dinner ,for her siblings.,4.00,4,4,
48.00,21.00,6.00,Katherine baby-sat the neighbor's kids ,to earn some money for her trip to London.,2.00,2,1,
48.00,21.00,7.00,Tom bottle fed the baby ,and the baby quickly fell asleep.,3.00,3,2,
48.00,21.00,8.00,Bert changed the oil ,to his car.,3.00,3,3,
50.00,22.00,1.00,Linda swatted at the flies ,with her hand.,3.00,2,3,
50.00,22.00,2.00,Helen crammed for the test ,on Tuesday night.,3.00,3,3,
50.00,22.00,3.00,Shirley asked for help getting home ,because she was lost.,4.00,4,4,
50.00,22.00,4.00,Sam read the newspaper ,while drinking his coffee.,4.00,3,3,
50.00,22.00,5.00,Jenny went home to cook dinner ,for her family.,5.00,4,4,
50.00,22.00,6.00,Katherine baby-sat the neighbor's kids ,on Friday night.,3.00,3,4,
50.00,22.00,7.00,Tom bottle fed the baby ,calmly.,3.00,2,2,
50.00,22.00,8.00,Bert changed the oil ,in his car.,3.00,3,3,
51.00,22.00,1.00,Linda swatted at the flies ,on the table,3.00,3,3,
51.00,22.00,2.00,Helen crammed for the test ,when she was not prepared,3.00,3,3,
